"periodo","cole_mcpio_ubicacion","cole_depto_ubicacion","punt_matematicas","punt_lectura_critica","punt_global","fami_estratovivienda","fami_educacionmadre","fami_educacionpadre","fami_personashogar","fami_cuartoshogar","fami_tienecomputador","fami_tieneinternet","fami_tieneautomovil","fami_tienelavadora","punt_c_naturales","punt_sociales_ciudadanas","punt_ingles","cole_naturaleza","cole_area_ubicacion","cole_bilingue","estu_genero","desemp_ingles"
"20211","VILLAMARÍA","CALDAS","79.0","67","368","Estrato 4","Postgrado","Postgrado","3 a 4","Tres","Si","Si","Si","Si","70","75","85.0","NO OFICIAL","RURAL","S","F","B+"
"20211","MANIZALES","CALDAS","76.0","66","344","Estrato 4","Educación profesional completa","Educación profesional completa","3 a 4","Tres","Si","Si","Si","Si","64","65","82.0","NO OFICIAL","URBANO","S","F","B+"
"20211","MANIZALES","CALDAS","49.0","54","232","Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","1 a 2","Dos","No","Si","No","Si","48","34","47.0","NO OFICIAL","URBANO","N","M","A-"
"20211","MANIZALES","CALDAS","34.0","45","198","Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","3 a 4","Tres","Si","Si","No","Si","43","39","31.0","NO OFICIAL","URBANO","N","M","A-"
"20211","MANIZALES","CALDAS","69.0","67","343","Estrato 6","Educación profesional completa","Técnica o tecnológica completa","5 a 6","Cuatro","Si","Si","Si","Si","66","67","86.0","NO OFICIAL","URBANO","S","F","B+"
"20211","VILLAMARÍA","CALDAS","69.0","69","357","Estrato 6","Educación profesional completa","Educación profesional incompleta","3 a 4","Tres","Si","Si","Si","Si","70","73","86.0","NO OFICIAL","RURAL","S","F","B+"
"20211","MANIZALES","CALDAS","58.0","42","240","Estrato 1","Técnica o tecnológica completa","Primaria incompleta","3 a 4","Tres","Si","Si","No","Si","43","52","39.0","NO OFICIAL","URBANO","N","M","A-"
"20211","VILLAMARÍA","CALDAS","71.0","68","332","Estrato 4","Educación profesional completa","Educación profesional completa","3 a 4","Tres","Si","Si","Si","Si","66","57","77.0","NO OFICIAL","RURAL","S","F","B1"
"20211","MANIZALES","CALDAS","52.0","63","277","Estrato 3","Educación profesional completa","Técnica o tecnológica completa","3 a 4","Tres","Si","Si","Si","Si","53","50","65.0","NO OFICIAL","URBANO","","F","A2"
"20211","MANIZALES","CALDAS","37.0","44","201","Estrato 5","Educación profesional completa","Educación profesional completa","3 a 4","Tres","Si","Si","Si","Si","42","38",,"NO OFICIAL","URBANO","N","F",""
