periodo,cole_mcpio_ubicacion,cole_depto_ubicacion,punt_matematicas,punt_lectura_critica,punt_global,fami_estratovivienda,fami_educacionmadre,fami_educacionpadre,fami_personashogar,fami_cuartoshogar,fami_tienecomputador,fami_tieneinternet,fami_tieneautomovil,fami_tienelavadora,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,cole_naturaleza,cole_area_ubicacion,cole_bilingue,estu_genero,desemp_ingles
20224,ANSERMA,CALDAS,50.0,47.0,217.0,Estrato 3,Primaria incompleta,Primaria incompleta,5,Tres,0,0,0,1,37.0,39.0,44.0,Público,RURAL,0,F,A-
20224,MANIZALES,CALDAS,51.0,64.0,290.0,Estrato 2,,,5,Tres,1,1,0,0,51.0,62.0,69.0,Público,RURAL,0,M,B1
20224,AGUADAS,CALDAS,54.0,60.0,269.0,Estrato 1,Ninguno,Ninguno,2,Uno,0,0,0,0,56.0,47.0,49.0,Público,RURAL,0,F,A1
20224,MANIZALES,CALDAS,57.0,55.0,262.0,Estrato 2,Primaria incompleta,Primaria incompleta,3,Dos,0,0,0,1,47.0,50.0,53.0,Privado,URBANO,0,M,A1
20224,ARANZAZU,CALDAS,56.0,65.0,292.0,Estrato 1,Primaria incompleta,Primaria incompleta,5,Tres,0,0,0,1,58.0,60.0,42.0,Público,RURAL,0,M,A-
20224,MANIZALES,CALDAS,50.0,55.0,254.0,Estrato 1,Primaria incompleta,Primaria incompleta,5,Cuatro,1,1,0,1,53.0,48.0,43.0,Público,RURAL,0,F,A-
20224,SAMANÁ,CALDAS,46.0,50.0,240.0,Estrato 1,Primaria incompleta,Primaria incompleta,5,Tres,0,0,0,0,49.0,48.0,44.0,Público,RURAL,0,F,A-
20224,RIOSUCIO,CALDAS,38.0,44.0,203.0,Estrato 2,Primaria incompleta,No sabe,3,Cuatro,0,0,0,1,40.0,43.0,33.0,Público,RURAL,0,M,A-
20224,MANIZALES,CALDAS,51.0,42.0,226.0,Estrato 3,Secundaria (Bachillerato) incompleta,Ninguno,2,Dos,0,1,0,1,46.0,39.0,54.0,Privado,URBANO,,M,A1
20224,MANIZALES,CALDAS,68.0,67.0,321.0,Estrato 6,Secundaria (Bachillerato) completa,No sabe,3,Tres,0,1,0,1,60.0,60.0,70.0,Privado,URBANO,0,M,B1
20224,CHINCHINÁ,CALDAS,54.0,49.0,265.0,Estrato 6,Educación profesional completa,Educación profesional completa,5,Tres,1,1,1,1,54.0,49.0,70.0,Privado,URBANO,,F,B1
20224,LA DORADA,CALDAS,38.0,35.0,190.0,Estrato 2,Educación profesional completa,Secundaria (Bachillerato) completa,3,Uno,1,1,0,0,45.0,36.0,33.0,Público,URBANO,0,F,A-
20224,MANIZALES,CALDAS,52.0,58.0,271.0,Estrato 2,Secundaria (Bachillerato) completa,No sabe,3,Tres,0,1,0,1,55.0,56.0,42.0,Privado,URBANO,,F,A-
20224,ANSERMA,CALDAS,46.0,46.0,205.0,Estrato 2,Primaria completa,No sabe,3,Tres,0,1,0,1,38.0,34.0,40.0,Público,URBANO,0,F,A-
20224,MANIZALES,CALDAS,52.0,52.0,231.0,Estrato 2,Secundaria (Bachillerato) completa,No Aplica,5,Cuatro,1,1,0,0,46.0,40.0,31.0,Privado,URBANO,0,M,A-
20224,SAMANÁ,CALDAS,40.0,40.0,185.0,Estrato 2,Primaria completa,Primaria incompleta,3,Tres,1,0,0,0,33.0,36.0,35.0,Público,RURAL,0,M,A-
20224,RIOSUCIO,CALDAS,38.0,59.0,234.0,Estrato 3,Primaria incompleta,Primaria incompleta,3,Tres,1,1,1,1,44.0,44.0,54.0,Público,URBANO,0,F,A1
20221,MANIZALES,CALDAS,61.0,61.0,283.0,Estrato 6,Postgrado,Educación profesional completa,3,Tres,1,1,1,1,56.0,47.0,61.0,Privado,URBANO,0,M,A2
20221,MANIZALES,CALDAS,53.0,63.0,297.0,Estrato 3,No sabe,No sabe,3,Tres,1,1,1,1,57.0,61.0,71.0,Privado,URBANO,,M,B1
20221,VILLAMARÍA,CALDAS,76.0,78.0,378.0,Estrato 6,Postgrado,Postgrado,2,Dos,1,1,1,1,64.0,76.0,100.0,Privado,RURAL,1,F,B+
20221,MANIZALES,CALDAS,23.0,46.0,170.0,Estrato 3,Secundaria (Bachillerato) incompleta,No sabe,2,Uno,0,0,0,0,40.0,29.0,29.0,Privado,URBANO,0,F,A-
20211,VILLAMARÍA,CALDAS,79.0,67.0,368.0,Estrato 4,Postgrado,Postgrado,3,Tres,1,1,1,1,70.0,75.0,85.0,Privado,RURAL,1,F,B+
20211,MANIZALES,CALDAS,76.0,66.0,344.0,Estrato 4,Educación profesional completa,Educación profesional completa,3,Tres,1,1,1,1,64.0,65.0,82.0,Privado,URBANO,1,F,B+
20211,MANIZALES,CALDAS,49.0,54.0,232.0,Estrato 2,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,2,Dos,0,1,0,1,48.0,34.0,47.0,Privado,URBANO,0,M,A-
20211,MANIZALES,CALDAS,34.0,45.0,198.0,Estrato 3,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,3,Tres,1,1,0,1,43.0,39.0,31.0,Privado,URBANO,0,M,A-
20211,MANIZALES,CALDAS,69.0,67.0,343.0,Estrato 6,Educación profesional completa,Técnica o tecnológica completa,5,Cuatro,1,1,1,1,66.0,67.0,86.0,Privado,URBANO,1,F,B+
20211,VILLAMARÍA,CALDAS,69.0,69.0,357.0,Estrato 6,Educación profesional completa,Educación profesional incompleta,3,Tres,1,1,1,1,70.0,73.0,86.0,Privado,RURAL,1,F,B+
20211,MANIZALES,CALDAS,58.0,42.0,240.0,Estrato 1,Técnica o tecnológica completa,Primaria incompleta,3,Tres,1,1,0,1,43.0,52.0,39.0,Privado,URBANO,0,M,A-
20211,VILLAMARÍA,CALDAS,71.0,68.0,332.0,Estrato 4,Educación profesional completa,Educación profesional completa,3,Tres,1,1,1,1,66.0,57.0,77.0,Privado,RURAL,1,F,B1
20211,MANIZALES,CALDAS,52.0,63.0,277.0,Estrato 3,Educación profesional completa,Técnica o tecnológica completa,3,Tres,1,1,1,1,53.0,50.0,65.0,Privado,URBANO,,F,A2
20211,MANIZALES,CALDAS,37.0,44.0,201.0,Estrato 5,Educación profesional completa,Educación profesional completa,3,Tres,1,1,1,1,42.0,38.0,,Privado,URBANO,0,F,
20211,VILLAMARÍA,CALDAS,46.0,40.0,219.0,Estrato 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,3,Tres,1,1,1,1,39.0,45.0,60.0,Privado,RURAL,,F,A2
20211,VILLAMARÍA,CALDAS,56.0,61.0,295.0,Estrato 2,Primaria incompleta,Primaria incompleta,3,Uno,1,1,1,1,59.0,60.0,59.0,Privado,RURAL,,M,A2
20211,MANIZALES,CALDAS,56.0,56.0,271.0,Estrato 4,Educación profesional completa,No Aplica,3,Tres,1,1,0,1,49.0,55.0,56.0,Privado,URBANO,0,M,A1
20211,VILLAMARÍA,CALDAS,66.0,62.0,332.0,Estrato 4,Secundaria (Bachillerato) completa,No sabe,7,Seis o mas,1,1,1,1,67.0,64.0,85.0,Privado,RURAL,,M,B+
